Fitting 6 folds for each of 100 candidates, totalling 600 fits
{'estimator__gamma': 0.001, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.01, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.1, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 1, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 10, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.09130881002538756 +/- 0.001787598231890931 | mean train AUC ROC: 0.500222816399287 +/- 0.0009964652306148837
{'estimator__gamma': 100, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 1000, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 10000, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 100000, 'estimator__kernel': 'rbf', 'estimator__C': 0.1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.001, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.01, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.1, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 1, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.33445630125474474 +/- 0.02315395829837 | mean train AUC ROC: 0.6356541934991419 +/- 0.014970574517990295
{'estimator__gamma': 10, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 0.9842263583330303 +/- 0.00693464718375264 | mean train AUC ROC: 0.9919025372875078 +/- 0.004142526422862633
{'estimator__gamma': 100, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 1000, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 10000, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 100000, 'estimator__kernel': 'rbf', 'estimator__C': 1} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.001, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.01, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.1, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 0.2523962552187178 +/- 0.01861318767992612 | mean train AUC ROC: 0.5967864348509543 +/- 0.014306713828285678
{'estimator__gamma': 1, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 0.831312816774691 +/- 0.010993455517095217 | mean train AUC ROC: 0.9205244684826166 +/- 0.008549095992124186
{'estimator__gamma': 10, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 100, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 1000, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 10000, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 100000, 'estimator__kernel': 'rbf', 'estimator__C': 10} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 0.0909090909090909 +/- 2.5337258102033824e-17 | mean train AUC ROC: 0.5 +/- 0.0
{'estimator__gamma': 0.001, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 0.09113451956223938 +/- 0.0010081475850324258 | mean train AUC ROC: 0.5001241927471436 +/- 0.0005554068498509471
{'estimator__gamma': 0.01, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 0.2224041905289961 +/- 0.03485062020669606 | mean train AUC ROC: 0.5814374222775597 +/- 0.021500013547174842
{'estimator__gamma': 0.1, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 0.45788608349160437 +/- 0.03187153101801801 | mean train AUC ROC: 0.7177610314781248 +/- 0.019057228244228508
{'estimator__gamma': 1, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 0.9887715337275282 +/- 0.005115048356693385 | mean train AUC ROC: 0.9967386820589496 +/- 0.0012170310388125072
{'estimator__gamma': 10, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 100, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 1000, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 10000, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 100000, 'estimator__kernel': 'rbf', 'estimator__C': 100} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 0.0001, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 0.09113451956223938 +/- 0.0010081475850324258 | mean train AUC ROC: 0.5001241927471436 +/- 0.0005554068498509471
{'estimator__gamma': 0.001, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 0.21785754106690258 +/- 0.03331210884650869 | mean train AUC ROC: 0.5787584934285817 +/- 0.021063787679636535
{'estimator__gamma': 0.01, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 0.29791304972392224 +/- 0.016752853219167745 | mean train AUC ROC: 0.6298735997701671 +/- 0.009346428065604697
{'estimator__gamma': 0.1, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 0.8211676393345115 +/- 0.017858508953676865 | mean train AUC ROC: 0.9202031235759899 +/- 0.009883593075189651
{'estimator__gamma': 1, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
{'estimator__gamma': 10, 'estimator__kernel': 'rbf', 'estimator__C': 1000} mean train precision: 1.0 +/- 0.0 | mean train AUC ROC: 1.0 +/- 0.0
